id,date,temperature_celsius
1,2010-01-01,21.15
2,2010-02-02,-28.0
3,2010-03-03,-8.0
4,2010-04-04,-12.14
5,2010-05-05,28.92
6,2010-06-06,24.14
7,2010-07-07,41.37
8,2010-08-08,-23.04
9,2010-09-09,3.75
10,2010-10-10,-27.62
11,2010-11-11,-12.51
12,2010-12-12,10.43
13,2010-01-13,-27.88
14,2010-02-14,-14.09
15,2010-03-15,21.99
16,2010-04-16,13.6
17,2010-05-17,-12.36
18,2010-06-18,17.14
19,2010-07-19,34.75
20,2010-08-20,-29.48
21,2010-09-21,34.47
22,2010-10-22,25.85
23,2010-11-23,-2.78
24,2010-12-24,-17.56
25,2010-01-25,46.58
26,2010-02-26,-3.07
27,2010-03-27,-22.58
28,2010-04-28,-22.26
29,2010-05-01,37.8
30,2010-06-02,18.3
31,2010-07-03,34.57
32,2010-08-04,28.38
33,2010-09-05,12.9
34,2010-10-06,47.85
35,2010-11-07,0.28
36,2010-12-08,14.16
37,2010-01-09,36.35
38,2010-02-10,19.48
39,2010-03-11,38.94
40,2010-04-12,16.19
41,2010-05-13,26.37
42,2010-06-14,-26.33
43,2010-07-15,-11.77
44,2010-08-16,-6.85
45,2010-09-17,-23.62
46,2010-10-18,-11.38
47,2010-11-19,-21.92
48,2010-12-20,-7.76
49,2010-01-21,20.85
50,2010-02-22,-0.81
51,2010-03-23,-0.39
52,2010-04-24,-13.24
53,2010-05-25,-8.64
54,2010-06-26,44.93
55,2010-07-27,21.84
56,2010-08-28,18.73
57,2010-09-01,-16.31
58,2010-10-02,28.33
59,2010-11-03,-16.93
60,2010-12-04,0.36
61,2010-01-05,49.16
62,2010-02-06,21.2
63,2010-03-07,14.56
64,2010-04-08,24.77
65,2010-05-09,37.43
66,2010-06-10,32.08
67,2010-07-11,-11.68
68,2010-08-12,-27.43
69,2010-09-13,-4.76
70,2010-10-14,-8.58
71,2010-11-15,-13.12
72,2010-12-16,45.43
73,2010-01-17,40.11
74,2010-02-18,-4.83
75,2010-03-19,22.44
76,2010-04-20,1.65
77,2010-05-21,43.16
78,2010-06-22,6.71
79,2010-07-23,-8.81
80,2010-08-24,-10.27
81,2010-09-25,14.91
82,2010-10-26,-8.98
83,2010-11-27,16.77
84,2010-12-28,41.83
85,2010-01-01,1.95
86,2010-02-02,-12.45
87,2010-03-03,49.8
88,2010-04-04,10.76
89,2010-05-05,-22.73
90,2010-06-06,-26.23
91,2010-07-07,-21.23
92,2010-08-08,20.2
93,2010-09-09,33.37
94,2010-10-10,3.77
95,2010-11-11,-24.92
96,2010-12-12,0.53
97,2010-01-13,49.69
98,2010-02-14,12.33
99,2010-03-15,47.69
100,2010-04-16,38.86
101,2010-05-17,-29.08
102,2010-06-18,27.66
103,2010-07-19,24.54
104,2010-08-20,12.96
105,2010-09-21,-8.65
106,2010-10-22,21.28
107,2010-11-23,-21.08
108,2010-12-24,4.78
109,2010-01-25,6.3
110,2010-02-26,46.31
111,2010-03-27,40.07
112,2010-04-28,-8.93
113,2010-05-01,10.05
114,2010-06-02,-15.71
115,2010-07-03,43.01
116,2010-08-04,39.64
117,2010-09-05,-6.12
118,2010-10-06,21.12
119,2010-11-07,18.72
120,2010-12-08,-17.77
121,2010-01-09,31.0
122,2010-02-10,13.15
123,2010-03-11,32.29
124,2010-04-12,12.43
125,2010-05-13,-29.95
126,2010-06-14,-4.07
127,2010-07-15,-28.44
128,2010-08-16,44.33
129,2010-09-17,40.3
130,2010-10-18,36.53
131,2010-11-19,-5.4
132,2010-12-20,-25.37
133,2010-01-21,40.24
134,2010-02-22,45.76
135,2010-03-23,-23.15
136,2010-04-24,8.88
137,2010-05-25,-24.46
138,2010-06-26,30.85
139,2010-07-27,31.27
140,2010-08-28,-19.73
141,2010-09-01,8.02
142,2010-10-02,13.98
143,2010-11-03,-8.8
144,2010-12-04,39.79
145,2010-01-05,3.85
146,2010-02-06,-13.06
147,2010-03-07,13.14
148,2010-04-08,28.39
149,2010-05-09,-13.91
150,2010-06-10,-5.06
151,2010-07-11,49.61
152,2010-08-12,21.99
153,2010-09-13,5.05
154,2010-10-14,11.41
155,2010-11-15,-20.32
156,2010-12-16,-12.02
157,2010-01-17,-2.95
158,2010-02-18,17.06
159,2010-03-19,-11.59
160,2010-04-20,-12.38
161,2010-05-21,-24.32
162,2010-06-22,20.49
163,2010-07-23,-11.68
164,2010-08-24,42.43
165,2010-09-25,38.77
166,2010-10-26,-24.33
167,2010-11-27,-10.96
168,2010-12-28,23.52
169,2010-01-01,-12.86
170,2010-02-02,-19.42
171,2010-03-03,44.84
172,2010-04-04,15.68
173,2010-05-05,7.81
174,2010-06-06,32.77
175,2010-07-07,34.6
176,2010-08-08,-14.77
177,2010-09-09,-22.25
178,2010-10-10,4.48
179,2010-11-11,3.89
180,2010-12-12,7.36
181,2010-01-13,28.33
182,2010-02-14,23.87
183,2010-03-15,48.73
184,2010-04-16,-22.13
185,2010-05-17,2.21
186,2010-06-18,-2.86
187,2010-07-19,38.93
188,2010-08-20,-10.11
189,2010-09-21,-14.78
190,2010-10-22,5.89
191,2010-11-23,3.75
192,2010-12-24,-7.72
193,2010-01-25,-10.02
194,2010-02-26,43.86
195,2010-03-27,5.45
196,2010-04-28,38.91
